passportNumber,clientName,gender,dateOfBirth,mainDiagnosis,clientType,nationality,countryOfResidence,billingStreet,billingCity,billingState,billingCountry,billingCode,isMedicial,isClaim,claimInformation,referral_ID
a1349,John Tampi,null,1955-09-18 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1349
a135,Lee Yann Ping,Male,1955-09-19 00:00:00,null ,null ,Malaysian,null ,null ,null ,null ,null ,null ,null ,null,null ,135
a1350,John Tampi,null,1955-09-20 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,No,null ,1350
a1351,Suzana Josephine,null,1955-09-21 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,No,null ,1351
a1352,SISWANTO TANOKO,Male,1955-09-22 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1352
a1353,HA CONG KHANH DUY,Male,1955-09-23 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,No,null ,1353
a1354,BARNES SUSAN,Female,1955-09-24 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,No,null ,1354
a1355,Marcus Evan Cary,Male,1955-09-25 00:00:00,null ,null ,American,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1355
a1356,Marcus Evan Cary,Male,1955-09-26 00:00:00,null ,null ,American,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1356
a1357,Ken Chua,null,1955-09-27 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,null,null ,1357
a1358,Djuli Atmodjo Sigit,null,1955-09-28 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,No,null ,1358
a1359,Tjhin Sri Wahyuni,null,1955-09-29 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1359
a136,PT Timerindo Perkasa Internasional,null,1955-09-30 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,null,null ,136
a1360,Suparno,null,1955-10-01 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1360
a1361,Liauw Sioe Liu,null,1955-10-02 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,No,null ,1361
a1362,Ross Hamilton,null,1955-10-03 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,No,null ,1362
a1363,William Capone,Male,1955-10-04 00:00:00,null ,null ,American,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1363
a1364,ELLEN SURYANI SUJANTO,null,1955-10-05 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1364
a1365,Nicasio Chua,null,1955-10-06 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,null,null ,1365
a1366,Booker Glenn Warren,Male,1955-10-07 00:00:00,null ,null ,Australian,null ,null ,null ,null ,null ,null ,null ,null,null ,1366
a1367,Seibold Matthew Graham,Male,1955-10-08 00:00:00,null ,null ,Australian,null ,null ,null ,null ,null ,null ,null ,null,null ,1367
a1368,Muhammad Yasir Bin Selamad,Male,1955-10-09 00:00:00,null ,null ,Singaporean,null ,null ,null ,null ,null ,null ,null ,null,null ,1368
a1369,Hariya Albertus,Male,1955-10-10 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1369
a137,Bruce James Emond,Male,1955-10-11 00:00:00,null ,null ,UK,null ,null ,null ,null ,null ,null ,null ,null,null ,137
a1370,Hariya Albertus,Male,1955-10-12 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1370
a1371,Nambukara Helambage Rajitha Harischandra Sena,Male,1955-10-13 00:00:00,null ,null ,Sri Lanka,null ,null ,null ,null ,null ,null ,null ,No,null ,1371
a1372,Ma Cristina Calolot,Female,1955-10-14 00:00:00,null ,null ,Filipino,null ,null ,null ,null ,null ,null ,null ,No,null ,1372
a1373,Tjhin Sri Wahyuni,Female,1955-10-15 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1373
a1374,Acep Dani Nuraeni,Male,1955-10-16 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1374
a1375,Daniele LAI,Male,1955-10-17 00:00:00,null ,null ,Italian,null ,null ,null ,null ,null ,null ,null ,No,null ,1375
a1376,Puspita Dewi,Female,1955-10-18 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1376
a1377,Sukiono Rahardjo,Male,1955-10-19 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,null,null ,1377
a1378,Naoyuki Tsubogo,Male,1955-10-20 00:00:00,null ,null ,Japanese,null ,null ,null ,null ,null ,null ,null ,null,null ,1378
a1379,GILLES PIERRE GUSTAVE CALABRESE,Male,1955-10-21 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,null,null ,1379
a138,PT MPG Indonesia,null,1955-10-22 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,null,null ,138
a1380,GILLES PIERRE GUSTAVE CALABRESE,Male,1955-10-23 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,null,null ,1380
a1381,JAYOUNG SMITH,Female,1955-10-24 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,null,null ,1381
a1382,JAYOUNG SMITH,null,1955-10-25 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,null,null ,1382
a1383,Esmereldo Pepito,null,1955-10-26 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,null,null ,1383
a1384,Raul Malubag,null,1955-10-27 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,null,null ,1384
a1385,Stephen Andrew Roberts,Male,1955-10-28 00:00:00,null ,null ,New Zealand,null ,null ,null ,null ,null ,null ,null ,null,null ,1385
a1386,John Raymond Shrimpton,null,1955-10-29 00:00:00,null ,null ,Australian,null ,null ,null ,null ,null ,null ,null ,null,null ,1386
a1387,Phillip John Mintey,null,1955-10-30 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,null,null ,1387
a1388,Mr. Maraden Lumbantobing,null,1955-10-31 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,null,null ,1388
a1389,Hianni Limmarga,Female,1955-11-01 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1389
a139,Jocelyn Manalo Herrera,Female,1955-11-02 00:00:00,null ,null ,Filipino,null ,null ,null ,null ,null ,null ,null ,null,null ,139
a1390,Hianni Limmarga,Female,1955-11-03 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1390
a1391,Hianni Limmarga,Female,1955-11-04 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1391
a1392,Djuli Atmodjo Sigit,Female,1955-11-05 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1392
a1393,"Maraden Lumbantobing, Mr",Male,1955-11-06 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1393
a1394,Tiana Miharja,Female,1955-11-07 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,null,null ,1394
a1395,Muhammad Idham,Male,1955-11-08 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,null,null ,1395
a1396,Muhammad Idham,Male,1955-11-09 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,null,null ,1396
a1397,BORDAGE JEAN SEBASTIAN,Male,1955-11-10 00:00:00,null ,null ,UK,null ,null ,null ,null ,null ,null ,null ,null,null ,1397
a1398,SELIMA HAQUE RAHMAN,Female,1955-11-11 00:00:00,null ,null ,American,null ,null ,null ,null ,null ,null ,null ,No,null ,1398
a1399,Silvia Tantono,null,1955-11-12 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1399
a14,Santoso Leksono Widodo,Male,1955-11-13 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,14
a140,Wong Kim Soong,Male,1955-11-14 00:00:00,null ,null ,Malaysian,null ,null ,null ,null ,null ,null ,null ,null,null ,140
a1400,Devi Ariyanti Setianingrum,Female,1955-11-15 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1400
a1401,Ashley Love,Female,1955-11-16 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,No,null ,1401
a1402,TEDJA SULIANA,null,1955-11-17 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,No,null ,1402
a1403,Vinsen Martheo,Male,1955-11-18 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1403
a1404,Melina Martheo,Female,1955-11-19 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1404
a1405,Muhammad Idham,Male,1955-11-20 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1405
a1406,CHOK CHAN LEONG,Male,1955-11-21 00:00:00,null ,null ,Malaysian,null ,null ,null ,null ,null ,null ,null ,null,null ,1406
a1407,HING HE CHUNG,Male,1955-11-22 00:00:00,null ,null ,Singaporean,null ,null ,null ,null ,null ,null ,null ,null,null ,1407
a1408,SASAKI KOJI,Male,1955-11-23 00:00:00,null ,null ,Japanese,null ,null ,null ,null ,null ,null ,null ,null,null ,1408
a1409,EGUCHI YURI,Female,1955-11-24 00:00:00,null ,null ,Japanese,null ,null ,null ,null ,null ,null ,null ,null,null ,1409
a141,Lim Chin Weng,Male,1955-11-25 00:00:00,null ,null ,Singaporean,null ,null ,null ,null ,null ,null ,null ,null,null ,141
a1410,JETHRU FEL CHONG PERATER,Male,1955-11-26 00:00:00,null ,null ,Filipino,null ,null ,null ,null ,null ,null ,null ,null,null ,1410
a1411,"MANGALILI , MARIA DOROTEA ATALIP",Female,1955-11-27 00:00:00,null ,null ,Filipino,null ,null ,null ,null ,null ,null ,null ,null,null ,1411
a1412,SIM MENG KIEOW,Male,1955-11-28 00:00:00,null ,null ,Malaysian,null ,null ,null ,null ,null ,null ,null ,null,null ,1412
a1413,Ngan Chanvathna,Male,1955-11-29 00:00:00,null ,null ,Cambodian,null ,null ,null ,null ,null ,null ,null ,No,null ,1413
a1414,Erna Kho,null,1955-11-30 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1414
a1415,SAI LAGNAA CHHOTRAY,null,1955-12-01 00:00:00,null ,null ,Singaporean,null ,null ,null ,null ,null ,null ,null ,null,null ,1415
a1416,Sofiyanti,Female,1955-12-02 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1416
a1417,Maming Bin Rahim Bin Muhammad,Male,1955-12-03 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1417
a1418,Andrea Nero,Male,1955-12-04 00:00:00,null ,null ,Italian,null ,null ,null ,null ,null ,null ,null ,null,null ,1418
a1419,San Grena,Female,1955-12-05 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,null,null ,1419
a142,Balaji Mani,Male,1955-12-06 00:00:00,null ,null ,Indian,null ,null ,null ,null ,null ,null ,null ,null,null ,142
a1420,LIVIA KARTIKA PRANANTO,Female,1955-12-07 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1420
a1421,LAW MICHAEL EDWARD,Male,1955-12-08 00:00:00,null ,null ,UK,null ,null ,null ,null ,null ,null ,null ,null,null ,1421
a1422,MR. LAW MICHAEL EDWARD,null,1955-12-09 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,null,null ,1422
a1423,MARISSA RENEE LAMB,Female,1955-12-10 00:00:00,null ,null ,American,null ,null ,null ,null ,null ,null ,null ,null,null ,1423
a1424,GAURAV SINGLA,Male,1955-12-11 00:00:00,null ,null ,Indian,null ,null ,null ,null ,null ,null ,null ,null,null ,1424
a1425,MARK  JAMES TURNER,Male,1955-12-12 00:00:00,null ,null ,Australian,null ,null ,null ,null ,null ,null ,null ,null,null ,1425
a1426,Kurt Munger Werner,Male,1955-12-13 00:00:00,null ,null ,Swiss,null ,null ,null ,null ,null ,null ,null ,No,null ,1426
a1427,Christine Moeliana,Female,1955-12-14 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,null,null ,1427
a1428,Silvia Tantono,Female,1955-12-15 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1428
a1429,Jacob Nuwa Wea,Male,1955-12-16 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,null,null ,1429
a143,Eiji Yamamoto,Male,1955-12-17 00:00:00,null ,null ,Japanese,null ,null ,null ,null ,null ,null ,null ,null,null ,143
a1430,GONDOR GEORGE,Male,1955-12-18 00:00:00,null ,null ,Australian,null ,null ,null ,null ,null ,null ,null ,null,null ,1430
a1431,Ms Liliansari Loedin,Female,1955-12-19 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1431
a1432,Ivana Hermanto,null,1955-12-20 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1432
a1433,San Grena,Female,1955-12-21 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,null,null ,1433
a1434,Christopher Sidik,Male,1955-12-22 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1434
a1435,Rita Kesuma,Female,1955-12-23 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1435
a1436,Rita Kesuma,Female,1955-12-24 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1436
a1437,Rita Kesuma,Female,1955-12-25 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1437
a1438,Lau Vann,Male,1955-12-26 00:00:00,null ,null ,Cambodian,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1438
a1439,Ready Kambo,Male,1955-12-27 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1439
a144,PT Ragam Obor Hikmah,null,1955-12-28 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,null,null ,144
a1440,Syafruddin Kambo,Male,1955-12-29 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1440
a1441,Shakir Ahmed,null,1955-12-30 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,No,null ,1441
a1442,DJOTA TELER,null,1955-12-31 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1442
a1443,Thomas Ardian,null,1956-01-01 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1443
a1444,Paul Thomas Lambton,Male,1956-01-02 00:00:00,null ,null ,UK,null ,null ,null ,null ,null ,null ,null ,null,null ,1444
a1445,Herzog John Paul,Male,1956-01-03 00:00:00,null ,null ,American,null ,null ,null ,null ,null ,null ,null ,null,null ,1445
a1446,Ang Kah Hup,Male,1956-01-04 00:00:00,null ,null ,Singaporean,null ,null ,null ,null ,null ,null ,null ,null,null ,1446
a1447,Madelynn Eliana Dy,Female,1956-01-05 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,No,null ,1447
a1448,ENG HUN,Male,1956-01-06 00:00:00,null ,null ,Cambodian,null ,null ,null ,null ,null ,null ,null ,null,null ,1448
a1449,Linda Halim,Female,1956-01-07 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,null,null ,1449
a145,Corrin Michael Adshead,Male,1956-01-08 00:00:00,null ,null ,UK,null ,null ,null ,null ,null ,null ,null ,null,null ,145
a1450,Sok Chanly,Female,1956-01-09 00:00:00,null ,null ,Cambodian,null ,null ,null ,null ,null ,null ,null ,No,null ,1450
a1451,Aziz Abdul Miah,Male,1956-01-10 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,No,null ,1451
a1452,Chang Kok Hua,null,1956-01-11 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1452
a1453,Chang Kok Hua,Male,1956-01-12 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1453
a1454,Eduardo Lucero Brito,Male,1956-01-13 00:00:00,null ,null ,Filipino,null ,null ,null ,null ,null ,null ,null ,No,null ,1454
a1455,PT SYAILENDRA ASIA,null,1956-01-14 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,null,null ,1455
a1456,ROSSI GERALD FRANCIS,Male,1956-01-15 00:00:00,null ,null ,Italian,null ,null ,null ,null ,null ,null ,null ,null,null ,1456
a1457,DEVAN S/O SARAVANA,Male,1956-01-16 00:00:00,null ,null ,Singaporean,null ,null ,null ,null ,null ,null ,null ,null,null ,1457
a1458,KATSUMI NISHIMOTO,Male,1956-01-17 00:00:00,null ,null ,Japanese,null ,null ,null ,null ,null ,null ,null ,null,null ,1458
a1459,Mcmahon Thomas Ryan,Male,1956-01-18 00:00:00,null ,null ,Australian,null ,null ,null ,null ,null ,null ,null ,null,null ,1459
a146,Jason Edward Lee,Male,1956-01-19 00:00:00,null ,null ,UK,null ,null ,null ,null ,null ,null ,null ,null,null ,146
a1460,DR. Varkha Lachman,null,1956-01-20 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,null,null ,1460
a1461,Melanie Brandt,Female,1956-01-21 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,null,null ,1461
a1462,Nellor David Charles,Male,1956-01-22 00:00:00,null ,null ,Australian,null ,null ,null ,null ,null ,null ,null ,null,null ,1462
a1463,Nellor David Charles,Male,1956-01-23 00:00:00,null ,null ,Australian,null ,null ,null ,null ,null ,null ,null ,null,null ,1463
a1464,Brian Michael Davis,Male,1956-01-24 00:00:00,null ,null ,American,null ,null ,null ,null ,null ,null ,null ,null,null ,1464
a1465,Hoang Thi Huong,Female,1956-01-25 00:00:00,null ,null ,Vietnamese,null ,null ,null ,null ,null ,null ,null ,null,null ,1465
a1466,Leo Zimmermann,Male,1956-01-26 00:00:00,null ,null ,France,null ,null ,null ,null ,null ,null ,null ,null,null ,1466
a1467,Angele Zimmermann,Female,1956-01-27 00:00:00,null ,null ,France,null ,null ,null ,null ,null ,null ,null ,null,null ,1467
a1468,Cadence Kyrie Sanusi,Female,1956-01-28 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1468
a1469,HARTARTO,Male,1956-01-29 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1469
a147,Peter Alan Flindell,Male,1956-01-30 00:00:00,null ,null ,Australian,null ,null ,null ,null ,null ,null ,null ,null,null ,147
a1470,Hartini Hartarto,Male,1956-01-31 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1470
a1471,Hartini Hartarto,Male,1956-02-01 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1471
a1472,DIAN NUR FARIDA,Female,1956-02-02 00:00:00,null ,null ,INDONESIAN,null ,null ,null ,null ,null ,null ,null ,null,null ,1472
a1473,Yoehan Wahyudi Santoso,Male,1956-02-03 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1473
a1474,Megawaty  Sulistyo,null,1956-02-04 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,null,null ,1474
a1475,Ping Asrikin,null,1956-02-05 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1475
a1476,LIM PEI SHAN JANET,null,1956-02-06 00:00:00,null ,null ,Singaporean,null ,null ,null ,null ,null ,null ,null ,No,null ,1476
a1477,INA INDAYANTI,Female,1956-02-07 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1477
a1478,Christopher Allan Napper,Male,1956-02-08 00:00:00,null ,null ,Canadian,null ,null ,null ,null ,null ,null ,null ,null,null ,1478
a1479,Tjiu Beng Hoang,Female,1956-02-09 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,null,null ,1479
a148,Songalia Essart Garcia,Male,1956-02-10 00:00:00,null ,null ,Filipino,null ,null ,null ,null ,null ,null ,null ,null,null ,148
a1480,Felicia Sendjaja,Female,1956-02-11 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,null,null ,1480
a1481,Kevin Scott Moore,Male,1956-02-12 00:00:00,null ,null ,American,null ,null ,null ,null ,null ,null ,null ,null,null ,1481
a1482,David Charles Samways,Male,1956-02-13 00:00:00,null ,null ,UK,null ,null ,null ,null ,null ,null ,null ,null,null ,1482
a1483,Khun Sea,null,1956-02-14 00:00:00,null ,null ,Cambodian,null ,null ,null ,null ,null ,null ,null ,No,null ,1483
a1484,Chang Kok Hua,Male,1956-02-15 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1484
a1485,Hannah Marrissa Chang,Female,1956-02-16 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,No,null ,1485
a1486,Henry Wiyono,null,1956-02-17 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,No,null ,1486
a1487,K.M.Golam Dostogir,Male,1956-02-18 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,No,null ,1487
a1488,Yani,Female,1956-02-19 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1488
a1489,Harjanto,Male,1956-02-20 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1489
a149,Box john Anthony,Male,1956-02-21 00:00:00,null ,null ,Australian,null ,null ,null ,null ,null ,null ,null ,null,null ,149
a1490,Jonathan Gallant,Male,1956-02-22 00:00:00,null ,null ,American,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1490
a1491,Puspita Sari Hamijoyo,Female,1956-02-23 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1491
a1492,Rebekah Brito Montenegro Campos,Female,1956-02-24 00:00:00,null ,null ,American,null ,null ,null ,null ,null ,null ,null ,No,null ,1492
a1493,MEGAWATY SULISTYO,Female,1956-02-25 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1493
a1494,Michael Paul Duprez,Male,1956-02-26 00:00:00,null ,null ,American,null ,null ,null ,null ,null ,null ,null ,null,null ,1494
a1495,Josephine Metta Handayani,Female,1956-02-27 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,null,null ,1495
a1496,Suanawati Thedajoe,Female,1956-02-28 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1496
a1497,Suanawati Thedajoe,Female,1956-02-29 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1497
a1498,Judi Putra Negara,null,1956-03-01 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1498
a1499,"MARGALLO IRIBARNEGARAY, JUAN",null,1956-03-02 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,No,null ,1499
a15,Paul St Pierre,Male,1956-03-03 00:00:00,null ,null ,American,null ,null ,null ,null ,null ,null ,null ,No,null ,15
a150,Kalaiarasan SO Severajan,Male,1956-03-04 00:00:00,null ,null ,Singaporean,null ,null ,null ,null ,null ,null ,null ,null,null ,150
a1500,Marikin Sidharta (Sie Kik Kien),Male,1956-03-05 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1500
a1501,Norris David John,Male,1956-03-06 00:00:00,null ,null ,Australian,null ,null ,null ,null ,null ,null ,null ,null,null ,1501
a1502,CATHARINE THAMRIN,Female,1956-03-07 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1502
a1503,TNB & APRTNERS,null,1956-03-08 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,null,null ,1503
a1504,Shamim Khosravani Nezhad,Male,1956-03-09 00:00:00,null ,null ,UK,null ,null ,null ,null ,null ,null ,null ,null,null ,1504
a1505,TNB PARTNERS,null,1956-03-10 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,null,null ,1505
a1506,TNB & PARTNERS,null,1956-03-11 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,null,null ,1506
a1507,Dr.Thomas Tabalujan,null,1956-03-12 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,null,null ,1507
a1508,Lee See Pang,null,1956-03-13 00:00:00,null ,null ,null,null ,null ,null ,null ,null ,null ,null ,null,null ,1508
a1509,Alexander Harjanto,Male,1956-03-14 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1509
a151,Timothy John Hammel,Male,1956-03-15 00:00:00,null ,null ,New Zealand,null ,null ,null ,null ,null ,null ,null ,null,null ,151
a1510,Sie Kik Kien (Marikin Sidharta),Male,1956-03-16 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1510
a1511,Liem Po Tjo,Male,1956-03-17 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1511
a1512,Liem Po Tjo,Male,1956-03-18 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1512
a1513,Liem Po Tjo,Male,1956-03-19 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1513
a1514,Halim Susanto,Male,1956-03-20 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1514
a1515,Puspita Dewi,Female,1956-03-21 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1515
a1516,Liem Po Tjo,Male,1956-03-22 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1516
a1517,Christopher John Lawrence,Male,1956-03-23 00:00:00,null ,null ,UK,null ,null ,null ,null ,null ,null ,null ,null,null ,1517
a1518,Allan James Asher,Male,1956-03-24 00:00:00,null ,null ,Australian,null ,null ,null ,null ,null ,null ,null ,null,null ,1518
a1519,Neha Bhagwandas Mulchandani,Female,1956-03-25 00:00:00,null ,null ,Indian,null ,null ,null ,null ,null ,null ,null ,No,null ,1519
a152,Lau Kok Liang,Male,1956-03-26 00:00:00,null ,null ,Singaporean,null ,null ,null ,null ,null ,null ,null ,null,null ,152
a1520,Chan Oe Ling,Female,1956-03-27 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1520
a1521,Alexander Harjanto,Male,1956-03-28 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1521
a1522,Alexander Harjanto,Male,1956-03-29 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1522
a1523,Alexander Harjanto,Male,1956-03-30 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,No,null ,1523
a1524,Suanawati Thedajoe,Female,1956-03-31 00:00:00,null ,null ,Indonesian,null ,null ,null ,null ,null ,null ,null ,Yes,null ,1524
